,_id,latitude,longitude,number of installments,payment type,place of purchase,price,product,product category,purchase evaluation,seller,shipping fee,purchase data
0,677b1fbe32cf50de96c1446e,-22.19,-48.79,1,cupom,SP,1100.42,Tablet ABXY,eletronicos,1,Beatriz Moraes,68.4513476183,2021-01-01
1,677b1fbe32cf50de96c14474,-22.19,-48.79,1,boleto,SP,36.84,Blocos de montar,brinquedos,4,Pedro Gomes,0.0,2022-01-01
2,677b1fbe32cf50de96c14476,-18.1,-44.38,3,cartao_credito,MG,607.49,Fogão,eletrodomesticos,5,Juliana Costa,33.2354300998,2022-01-01
3,677b1fbe32cf50de96c14478,-13.29,-41.71,1,boleto,BA,1031.24,Bateria,instrumentos musicais,5,Bruno Rodrigues,55.199204426,2023-01-01
4,677b1fbe32cf50de96c1447a,-22.19,-48.79,20,cartao_credito,SP,888.09,Sofá retrátil,moveis,4,Rafael Costa,51.7681594786,2023-01-01
5,677b1fbe32cf50de96c14481,-22.19,-48.79,6,cartao_credito,SP,1035.84,Micro-ondas,eletrodomesticos,2,Felipe Santos,55.6864683002,2021-02-01
6,677b1fbe32cf50de96c14488,-22.19,-48.79,1,cartao_credito,SP,61.73,Iniciando em programação,livros,4,Beatriz Moraes,0.0,2021-02-01
7,677b1fbe32cf50de96c14492,-9.62,-36.82,1,boleto,AL,251.37,Poltrona,moveis,4,Isabella Pereira,10.969135344,2022-02-01
8,677b1fbe32cf50de96c14497,-24.89,-51.55,2,cartao_credito,PR,417.02,Cômoda,moveis,5,Felipe Santos,19.7894995019,2023-02-01
9,677b1fbe32cf50de96c14498,-24.89,-51.55,5,cartao_credito,PR,108.12,Fone de ouvido,eletronicos,4,Beatriz Moraes,6.6969125635,2023-02-01
10,677b1fbe32cf50de96c1449a,-18.1,-44.38,2,cartao_credito,MG,2404.01,TV Led UHD 4K,eletronicos,5,Pedro Gomes,125.5907393338,2023-02-01
11,677b1fbe32cf50de96c144aa,-20.51,-54.54,1,boleto,MS,1378.02,Fogão,eletrodomesticos,5,Beatriz Moraes,74.7745347061,2021-03-01
12,677b1fbe32cf50de96c144ab,-15.83,-47.86,5,cartao_credito,DF,14.52,Cubo mágico 8x8,brinquedos,5,Thiago Silva,3.9369626407,2021-03-01
13,677b1fbe32cf50de96c144b2,-22.19,-48.79,1,boleto,SP,116.0,Carrinho controle remoto,brinquedos,5,Thiago Silva,3.7610900916,2022-03-01
14,677b1fbe32cf50de96c144b3,-30.17,-53.5,1,boleto,RS,890.4,Sofá retrátil,moveis,4,Rafael Costa,44.9955603837,2022-03-01
15,677b1fbe32cf50de96c144b6,-5.2,-39.53,4,cartao_credito,CE,219.88,Headset,eletronicos,5,Mariana Ferreira,11.9967253244,2022-03-01
16,677b1fbe32cf50de96c144bb,-13.29,-41.71,2,cartao_credito,BA,43.35,Dashboards com Power BI,livros,5,Rafael Costa,3.2481049178,2023-03-01
17,677b1fbe32cf50de96c144bc,-22.25,-42.66,7,cartao_credito,RJ,28.71,Dinossauro Rex,brinquedos,5,Bruno Rodrigues,2.2157332793,2023-03-01
18,677b1fbe32cf50de96c144c4,-18.1,-44.38,2,cartao_credito,MG,67.88,Boneca bebê,brinquedos,5,Mariana Ferreira,4.1406707791,2021-04-01
19,677b1fbe32cf50de96c144c5,-18.1,-44.38,1,cartao_credito,MG,773.72,Bicicleta,esporte e lazer,5,João Souza,41.729366863,2021-04-01
20,677b1fbe32cf50de96c144c9,-15.83,-47.86,10,cartao_credito,DF,94.58,Panela de pressão,utilidades domesticas,5,Juliana Costa,2.6205395316,2021-04-01
21,677b1fbe32cf50de96c144d1,-22.25,-42.66,5,cartao_credito,RJ,363.8,Impressora,eletronicos,5,Isabella Pereira,20.0582676933,2022-04-01
22,677b1fbe32cf50de96c144dd,-22.19,-48.79,1,cupom,SP,2842.86,Celular Plus X42,eletronicos,4,Bianca Santos,151.6568684382,2021-05-01
23,677b1fbe32cf50de96c144df,-22.25,-42.66,4,cartao_credito,RJ,98.2,Headset,eletronicos,5,Felipe Santos,2.8132936411,2021-05-01
